tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
0 days 02:09:00,2020-11-01 09:01:40.331,2020-11-01 09:03:37.938,3203,Hamilton Park,40.727595966,-74.044247311,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,44370,Subscriber,1983,Male
0 days 05:07:00,2020-11-01 09:03:44.904,2020-11-01 10:07:51.009,3184,Paulus Hook,40.7141454,-74.0335519,3184,Paulus Hook,40.7141454,-74.0335519,44343,Customer,1988,Female
0 days 21:21:00,2020-11-01 09:04:00.315,2020-11-01 10:07:51.536,3184,Paulus Hook,40.7141454,-74.0335519,3184,Paulus Hook,40.7141454,-74.0335519,47257,Customer,1976,Male
0 days 03:57:00,2020-11-01 09:06:18.562,2020-11-01 09:14:55.436,3199,Newport Pkwy,40.7287448,-74.0321082,3203,Hamilton Park,40.727595966,-74.044247311,35285,Subscriber,1981,Male
0 days 01:59:00,2020-11-01 09:06:21.233,2020-11-01 09:10:54.560,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3187,Warren St,40.7211236,-74.03805095,44380,Subscriber,1979,Female
0 days 08:48:00,2020-11-01 09:08:18.982,2020-11-01 09:19:08.537,3220,5 Corners Library,40.73496102000952,-74.0595030784607,3279,Dixon Mills,40.721630142638354,-74.04996782541275,33808,Customer,1985,Male
0 days 07:00:00,2020-11-01 09:08:30.545,2020-11-01 09:31:58.528,3267,Morris Canal,40.7124188237569,-74.03852552175522,3205,JC Medical Center,40.71653978099194,-74.0496379137039,45216,Subscriber,1959,Male
1 days 21:50:00,2020-11-01 09:10:51.178,2020-11-01 09:17:19.343,3185,City Hall,40.7177325,-74.043845,3681,Grand St,40.71517767732029,-74.03768330812454,27403,Subscriber,1989,Male
0 days 07:52:00,2020-11-01 09:12:00.305,2020-11-01 09:15:45.007,3185,City Hall,40.7177325,-74.043845,3681,Grand St,40.71517767732029,-74.03768330812454,44003,Customer,1969,Unknown
0 days 03:59:00,2020-11-01 09:13:09.868,2020-11-01 09:21:26.168,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3185,City Hall,40.7177325,-74.043845,41696,Subscriber,1977,Male
0 days 07:03:00,2020-11-01 09:16:57.148,2020-11-01 09:48:04.520,3267,Morris Canal,40.7124188237569,-74.03852552175522,3267,Morris Canal,40.7124188237569,-74.03852552175522,42591,Customer,1981,Male
0 days 06:25:00,2020-11-01 09:17:40.179,2020-11-01 09:20:29.836,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3273,Manila & 1st,40.72165072487999,-74.04288411140442,45231,Subscriber,1996,Male
0 days 06:59:00,2020-11-01 09:22:18.563,2020-11-01 09:29:23.534,3192,Liberty Light Rail,40.7112423,-74.0557013,3211,Newark Ave,40.72152515,-74.046304543,44492,Customer,1969,Unknown
0 days 04:58:00,2020-11-01 09:22:56.231,2020-11-01 09:26:09.542,3185,City Hall,40.7177325,-74.043845,3483,Montgomery St,40.71942,-74.05099,39160,Subscriber,1987,Male
0 days 05:59:00,2020-11-01 09:23:32.076,2020-11-01 09:34:21.710,3210,Pershing Field,40.742677141,-74.051788633,3211,Newark Ave,40.72152515,-74.046304543,41002,Subscriber,1997,Unknown
0 days 04:45:00,2020-11-01 09:26:31.944,2020-11-01 09:28:58.501,3211,Newark Ave,40.72152515,-74.046304543,3209,Brunswick St,40.7241765,-74.0506564,42623,Subscriber,1980,Male
0 days 04:32:00,2020-11-01 09:26:47.025,2020-11-01 09:48:27.429,3199,Newport Pkwy,40.7287448,-74.0321082,3195,Sip Ave,40.73089709786179,-74.06391263008118,42526,Customer,1969,Unknown
0 days 09:47:00,2020-11-01 09:28:40.820,2020-11-01 09:37:07.219,3267,Morris Canal,40.7124188237569,-74.03852552175522,3273,Manila & 1st,40.72165072487999,-74.04288411140442,42552,Subscriber,1985,Male
3 days 18:02:00,2020-11-01 09:30:56.257,2020-11-01 09:43:09.423,3211,Newark Ave,40.72152515,-74.046304543,3268,Lafayette Park,40.71346382669195,-74.06285852193832,42352,Subscriber,1986,Female
0 days 05:29:00,2020-11-01 09:31:32.388,2020-11-01 09:35:59.007,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,3280,Astor Place,40.71928220070702,-74.07126188278198,42316,Subscriber,1993,Female
0 days 03:29:00,2020-11-01 09:32:34.264,2020-11-01 10:17:10.603,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3267,Morris Canal,40.7124188237569,-74.03852552175522,45216,Subscriber,1959,Male
0 days 06:43:00,2020-11-01 09:36:16.023,2020-11-01 10:05:36.046,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42580,Customer,1969,Unknown
0 days 11:06:00,2020-11-01 09:36:16.148,2020-11-01 10:05:44.823,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42314,Customer,1969,Unknown
0 days 08:25:00,2020-11-01 09:37:09.519,2020-11-01 10:01:44.691,3267,Morris Canal,40.7124188237569,-74.03852552175522,3267,Morris Canal,40.7124188237569,-74.03852552175522,35097,Subscriber,1995,Male
0 days 13:41:00,2020-11-01 09:38:30.276,2020-11-01 09:44:32.774,3267,Morris Canal,40.7124188237569,-74.03852552175522,3681,Grand St,40.71517767732029,-74.03768330812454,40124,Subscriber,1982,Female
0 days 13:17:00,2020-11-01 09:41:11.186,2020-11-01 09:53:12.745,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3638,Washington St,40.7242941,-74.0354826,40207,Customer,1969,Unknown
1 days 03:51:00,2020-11-01 09:42:49.003,2020-11-01 10:03:42.153,3268,Lafayette Park,40.71346382669195,-74.06285852193832,3279,Dixon Mills,40.721630142638354,-74.04996782541275,42249,Subscriber,1989,Male
1 days 03:49:00,2020-11-01 09:44:41.407,2020-11-01 09:57:10.760,3192,Liberty Light Rail,40.7112423,-74.0557013,3279,Dixon Mills,40.721630142638354,-74.04996782541275,42194,Subscriber,1992,Female
0 days 15:16:00,2020-11-01 09:46:46.487,2020-11-01 09:52:20.560,3681,Grand St,40.71517767732029,-74.03768330812454,3205,JC Medical Center,40.71653978099194,-74.0496379137039,44392,Subscriber,1982,Female
1 days 15:51:00,2020-11-01 09:50:57.319,2020-11-01 09:54:18.440,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3203,Hamilton Park,40.727595966,-74.044247311,21314,Subscriber,1988,Male
