tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
0 days 00:16:00,2020-12-01 07:16:41.665,2020-12-01 07:32:41.952,3267,Morris Canal,40.7124188237569,-74.03852552175522,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,48916,Subscriber,1996,Female
0 days 00:07:07,2020-12-01 07:18:40.516,2020-12-01 07:25:47.738,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29376,Subscriber,1979,Male
0 days 00:07:40,2020-12-01 07:19:14.797,2020-12-01 07:26:54.898,3209,Brunswick St,40.7241765,-74.0506564,3199,Newport Pkwy,40.7287448,-74.0321082,44911,Subscriber,1987,Female
0 days 00:03:53,2020-12-01 07:20:28.093,2020-12-01 07:24:22.050,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647166,-74.04311746358871,39160,Subscriber,1986,Male
0 days 00:03:13,2020-12-01 07:20:45.184,2020-12-01 07:23:58.534,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42601,Subscriber,1967,Male
0 days 00:05:08,2020-12-01 07:20:54.479,2020-12-01 07:26:02.948,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.04311746358871,45341,Subscriber,1970,Female
0 days 00:04:24,2020-12-01 07:23:46.299,2020-12-01 07:28:10.946,3267,Morris Canal,40.7124188237569,-74.03852552175522,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,45233,Subscriber,1963,Male
0 days 00:02:26,2020-12-01 07:30:56.948,2020-12-01 07:33:23.664,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,45683,Subscriber,1992,Male
0 days 00:01:48,2020-12-01 07:31:56.181,2020-12-01 07:33:44.260,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,34038,Subscriber,1995,Female
0 days 00:06:45,2020-12-01 07:36:30.105,2020-12-01 07:43:16.064,3187,Warren St,40.7211236,-74.03805095,3199,Newport Pkwy,40.7287448,-74.0321082,42308,Subscriber,1985,Female
0 days 00:19:18,2020-12-01 07:36:37.161,2020-12-01 07:55:55.840,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,48916,Subscriber,1980,Male
0 days 00:13:59,2020-12-01 07:37:54.284,2020-12-01 07:51:54.098,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,44364,Subscriber,1990,Male
0 days 00:07:09,2020-12-01 07:39:17.874,2020-12-01 07:46:27.702,3195,Sip Ave,40.73089709786179,-74.06391263008118,3225,Baldwin at Montgomery,40.7236589,-74.0641943,46537,Subscriber,1988,Male
0 days 00:03:15,2020-12-01 07:45:02.218,2020-12-01 07:48:17.570,3214,Essex Light Rail,40.7127742,-74.0364857,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,42150,Subscriber,1991,Female
0 days 00:07:13,2020-12-01 07:46:50.511,2020-12-01 07:54:03.764,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3481,York St,40.71649,-74.04105,42361,Subscriber,1987,Male
0 days 00:14:19,2020-12-01 07:47:15.661,2020-12-01 08:01:34.828,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,42147,Subscriber,1966,Male
0 days 00:22:30,2020-12-01 07:48:19.588,2020-12-01 08:10:49.995,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3275,Columbus Drive,40.71835519823214,-74.03891444206238,45274,Customer,1988,Male
0 days 00:06:49,2020-12-01 07:49:53.559,2020-12-01 07:56:42.838,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3186,Grove St PATH,40.71958611647166,-74.04311746358871,44895,Subscriber,1995,Female
0 days 00:04:42,2020-12-01 07:51:47.358,2020-12-01 07:56:30.346,3638,Washington St,40.7242941,-74.0354826,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,44212,Subscriber,1989,Male
0 days 00:03:47,2020-12-01 07:53:34.894,2020-12-01 07:57:22.492,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3214,Essex Light Rail,40.7127742,-74.0364857,42150,Subscriber,1991,Female
0 days 00:08:06,2020-12-01 07:54:17.287,2020-12-01 08:02:23.486,3638,Washington St,40.7242941,-74.0354826,3639,Harborside,40.7192517,-74.034234,42596,Subscriber,1992,Male
0 days 00:04:07,2020-12-01 07:54:21.023,2020-12-01 07:58:28.645,3184,Paulus Hook,40.7141454,-74.0335519,3185,City Hall,40.7177325,-74.043845,42455,Subscriber,1989,Male
0 days 00:14:25,2020-12-01 07:54:51.938,2020-12-01 08:09:17.419,3267,Morris Canal,40.7124188237569,-74.03852552175522,3225,Baldwin at Montgomery,40.7236589,-74.0641943,30360,Subscriber,2003,Male
0 days 00:11:52,2020-12-01 07:55:26.605,2020-12-01 08:07:19.070,3213,Van Vorst Park,40.71848892,-74.047726625,3213,Van Vorst Park,40.71848892,-74.047726625,48739,Subscriber,1970,Male
0 days 00:03:44,2020-12-01 07:55:30.916,2020-12-01 07:59:15.058,3201,Dey St,40.737711,-74.066921,3640,Journal Square,40.73367,-74.0625,42456,Subscriber,1966,Male
0 days 00:07:56,2020-12-01 07:56:02.758,2020-12-01 08:03:58.867,3202,Newport PATH,40.7272235,-74.0337589,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,44690,Subscriber,1991,Female
0 days 00:04:20,2020-12-01 07:56:04.734,2020-12-01 08:00:24.931,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.04311746358871,40637,Subscriber,1989,Male
0 days 00:15:38,2020-12-01 07:58:05.006,2020-12-01 08:13:43.605,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3202,Newport PATH,40.7272235,-74.0337589,45352,Subscriber,1975,Male
0 days 00:15:41,2020-12-01 07:58:21.905,2020-12-01 08:14:03.395,3199,Newport Pkwy,40.7287448,-74.0321082,3186,Grove St PATH,40.71958611647166,-74.04311746358871,44969,Customer,1969,Unknown
0 days 00:06:50,2020-12-01 08:00:16.434,2020-12-01 08:07:07.330,3192,Liberty Light Rail,40.7112423,-74.0557013,3186,Grove St PATH,40.71958611647166,-74.04311746358871,46530,Subscriber,1969,Male
0 days 00:08:38,2020-12-01 08:02:54.282,2020-12-01 08:11:32.509,3199,Newport Pkwy,40.7287448,-74.0321082,3184,Paulus Hook,40.7141454,-74.0335519,44911,Subscriber,1992,Male
